,Title,Description,Keywords,Categories,Stakeholders,Importance,Methdologies,Timeframes,Program,Miscellaneous,Author,History
0,Visualization of Data About or From Tools in AR Display,"Combining live sensor data and tools with AR displays enables many use cases. This topic studies how to meet requirements of Industrial Internet of Things (IIoT) use cases in new and intuitive ways. In the IIoT, and as part of Industry 4.0, machines and tools run software and may be connected to corporate infrastructure with cables or radios. Frequently, there are consoles on which a user receives tool status and diagnostics. Sensors may be integrated or attached to a tool, thereby enhancing the tool's capability. A tool without direct connection to enterprise IT may be detected with the AR system or paired with a user's AR device. Data from tools (or from a technician's AR system) may be sent to work order management systems, SCADA, and asset tracing and tool use or management systems (e.g., the torque on a screw needs to be increased or decreased).

When an AR-assisted user is controlling connected tools (or interacting with unconnected tools) to perform a task, they do not need to turn their attention away from the main task to receive useful information. However, it is critical that the information provided in AR does not interfere with the user's awareness of the tool and is of value to the user. There is the potential for back-end IIoT systems to contribute to the user's productivity by providing clear indicators of status.

This research topic explores and studies the usability of different approaches to visualize data from or about tools (that may be generated by a user's own device) in an IIoT context. The research could also include making, with AR device pairing, those tools without sensors or that are not connected, more detectable and/or intelligent. The user may also have the ability to receive and to see in their AR display assistance from a remote tool or system expert. The research can also examine integration of data from tools and users' devices with operational software to automatically track processes, apply quality control, and access recommendations for users and managers.

","connected tools, manufacturing, AR display, industrial Internet of Things (IIoT), SCADA, asset tracing, asset management, maintenance, diagnostics, usability, perception, real time sensor data, tools, Internet 4.0, smart tools, sensors, remote assistance, work instructions, interactive systems and tools, Internet of Things, sensors, manufacturing","Business, Technology, Use Cases, Industries","Operators of manufacturing, repair, maintenance facilities, quality managers, managers of factories, providers of repair and maintenance services, oil and gas, power and energy, medical practitioners, experience designers, enterprise IT, systems integrators specializing in IIoT or Industry 4.0","- AREA members with manufacturing facilities for assembly, or providing repair or maintenance services, or field services where complex, connected (or not ""smart"") tools are used need better ways to visualize data and to provide instantaneous status information to users.
- By immediately visualizing feedback about the status of a tool or process, the user will save time and perform the task or process to criteria the first time. However, the additional information provided must not interfere with performance of tasks and must be compliant with regulations.
- Assessment of technician sentiment toward the AR-connected tools (i.e. do experienced technicians feel they would need this and/or does it affect existing workflow?) could lead to improvements in design or introduction of AR.
- Increased understanding of operational improvements tied to connected tools could improve cost savings analysis and RoI calculations.","An experimental environment using a range of connected or smart tools and procedures will provide the suitable environment for this research. Users of Industrial Internet of Things (IIoT) or Industry 4.0 systems will perform tasks under controlled conditions. Motion and time studies, quality inspection and other measurements of performance will be used to quantify impacts. Users will complete surveys about satisfaction and feedback on various visualizations.",Medium,"This research topic is broad in scope. It can include exploring different approaches to visualize data about tools to better understand and document or compare usability. This would benefit the industry by establishing Industry 4.0 best practices or guidelines. The research could also include making, with AR device pairing, those tools without sensors or that are not connected, more detectable and/or intelligent. This would expand the types and number of existing tools that would be tracked, without the cost of replacing tools that were developed prior to Industry 4.0 adoption. It also can examine integration of data from tools and users' devices with operational software to automatically track processes and provide remote assistance, quality control and recommendations for users and managers. Further, this topic can be combined with studies of AR-enabled guidance, integration of AR with IoT, finding parts and supplies in a large space with AR, 3D user interfaces, live sensor visualization for other use cases, and other use cases in factory or field settings.","Two AREA members with financial support from both industry and government [MxD (in US), the Manufacturing Technology Center (MTC), and the AMRC (in UK)] have the required experimental environments and have already begun studying the approaches in this topic.

In December 2014, there was on https://www.plex.com/[the Plex web site] a blog post about the specific use case of a https://www.plex.com/blog/internet-making-things-connected-torque-wrench[connected torque wrench].",Christine Perey,2021-08-31
1,AR for Material Management and/or Supply Chain Flow with Work Orders,"Many industries track supply chains and juggle limited supplies of components, ingredients, or materials while planning work orders in a system. Combining data with AR displays could provide up-to-date information to users while on the job and assist in distributing human resources according to availability of materials. In the Industrial Internet of Things (IIoT), a facility or job site that is nearing the end of materials or has just received a shipment of materials can bring this status information into the AR-assisted user's field of view with updated work orders, reducing delays and optimizing use of resources and distribution of workers.

This topic explores how to better share information about materials, equipment, and tools tracked in operations management software, and, when there are mission critical updates, how to display to a user current information about materials. The user may receive a new work order, be warned about material shortages, or be notified of a new assignment to move materials between locations, for instance. In the latter use case, the user may receive AR-assisted navigation support.

When an AR-assisted user is made aware of status of materials in the supply chain, they are prepared to adapt and feel more satisfied. In addition, there is the potential for back-end IIoT systems to track the user's location before sending instructions with respect to material availabilities.

This research topic explores different approaches to communicating and visualizing levels of materials in an IIoT context to study usability and impacts on worker productivity and satisfaction. It also examines integration of data from connected pallets and packaging and users' devices with operational software to automatically track processes, check in/check out, and make recommendations for users and managers.

","logistics data processing, materials management, supply chain management, logistics, asset tracing, asset tracking, asset management, Industrial Internet of Things (IIoT), usability, perception, work orders, productivity, navigation, interactive systems and tools, Internet of Things, supply chain, time difference of arrival, warehouse automation, logistics data processing, pallets, supply chain management, manufacturing, mapping","Business, Technology, Use Cases, End User and User Experience","operators of manufacturing, repair, employees and technicians in manufacturing facilities or on sites where parts and materials are distributed, maintenance managers, quality managers, managers of factories, providers of repair and maintenance services, supply chain managers","- AREA members with manufacturing facilities for assembly, those providing repair or maintenance services, and those providing field services where materials must be combined with a worker's skills and availabilities need better ways to visualize data in situ and predict and plan work accordingly.
- Traditional ERP solutions for supply chain and work order management do not alert users to status updates in their visual field, so while they may provide real-time information, the technician must get information from other sources to act upon the change in status.
- AR systems connected to data processing for parts and supplies on a work site could provide instantaneous status information and guidance, and even navigation, to users.
- By immediately visualizing where materials are to be found and whether they are limited, the system will allow the user to waste less time waiting for materials and allow them to move parts or supplies to their optimal positions.","An experimental environment using a range of manufacturing conditions, materials, and procedures is the suitable environment for this research. Users of any tools or assembly systems located in facilities with limited ability to store local components will perform tasks under controlled conditions. Alerts will be introduced when supplies are nearly exhausted and when new shipments or orders arrive, along with other relevant real time information. Motion and time studies, quality inspection, and other measurements of performance will be used to quantify impacts. Users will complete surveys about satisfaction and feedback on various visualizations.",Medium,"This research topic can be combined with studies of AR-enabled guidance, 3D user interfaces, live sensor visualization for other use cases in factory and field settings, visualization of connected objects (e.g., tools), and IoT data streams.","Three non-commercial AREA members with financial support from both industry and government [MxD (in US), the Manufacturing Technology Center (The MTC, in UK) and the Advanced Manufacturing Research Center with Boeing (AMRC in UK)] have the required experimental environments and have already begun studying the approaches in this topic.",Christine Perey,2021-08-31
2,Dynamic Distribution of Sensing and Processing Capacity via Body-Area Networks,"Deploying enterprise AR solutions via head-mounted displays is inherently advantageous when simultaneous use of both hands is required. However, currently HMD performance is limited due to technological constraints, such as battery life and heat dissipation needs. One solution is to offload and distribute sensing and processing functions dynamically across other devices worn by the user (smartwatches, exoskeletons, sensing devices etc.)--that is, to a network of external wearable devices and resources.

A network of computing and sensing resources would not only decrease the display processing requirements, it would also enrich data feeds available in a complete AR system. A distributed architecture composed of haptic inputs, auditory signals, vibration and other sensors could provide richer data about the wearer (e.g. pose/posture of different body parts) and the environment. For example, using more diverse sensors could increase the system's ability to detect safety risks before they are clear to the user.

The inputs from more and more varied sensors should be studied for new opportunities. Power savings and a less-heavy headworn display are clear benefits, but the architecture presents many challenges. Having multiple, distributed sources of input or computational functions will require integrating, in real time, separate data streams into a cohesive model. In addition to the user's personal body-worn network, the merging and integration of computational functions could be performed on the edge or in the cloud, leveraging 5G in some cases.

This topic will include in its scope defining and testing different approaches to distributed sensors on the user's body and distributing processing capacity and assessing their impacts if any on device safety, weight, size, power consumption and cost, as well as calculating the utility/benefit ratio of different architectures.

","distributed computing architecture, body-worn mesh networks, body area network, sensor configuration, sensor control, head-mounted display device, wearables, cloud computing, sensor fusion, optimization, body area networks, off-display sensors, off-display processing, body sensor networks, personal area networks, mobile cloud computing, distributed computing, body area networks, wireless sensor networks, sensor fusion","Displays, Standards, Business, Technology","HMD manufacturers, AR display device designers, sensor developers, body area network manufacturers, OEM manufacturers, integrated solution and software developers","- Employees in AREA member companies frequently need simultaneous use of both their hands. Use of head-mounted displays represents a significant productivity improvement for those who need to use both hands and require contextually-positioned information to perform complex tasks.
- This research topic will contribute new knowledge aimed at addressing current limitations of head-mounted displays and will increase the quality of contextual data about the user and environment.
- The outcomes will reduce the barriers to AR display device integration with other devices and increase use of computational resources on and near the user.
- More flexible and distributed architectures are likely to reduce the HMD price and increase time between battery charges, and these benefits will increase adoption in the enterprise.","Studies of wearable sensors, low-latency body area network technologies, and sensor fusion processors and their synchronization will be necessary to examine all aspects of this research topic. A research platform composed of configurable head-mounted AR display components could be designed. Sensor data tracing systems may need to be tested or developed to provide a complete understanding of architectural choices.",Long,"This topic is at the intersection of multiple domains including but not limited to sensor configuration and control, sensor registrations, data filtering, sensor fusion, user context capture, and body area networks. The result could contribute to design of new HMD architectures, high-performance, and network-based resources and services (eg., 5G).","Studies of optical and IMU sensor fusion for AR HMDs date have been published as early as 2003. A https://www.researchgate.net/publication/281764749_An_Inertial_and_Optical_Sensor_Fusion_Approach_for_Six_Degree-of-Freedom_Pose_Estimation[recent publication on the topic] of 6DOF pose proves that the approach is very reliable.

The https://illixr.org/[ILLIXR Consortium] is developing a platform which, if extended to include body area networks, could be appropriate for experimentation with different architectures.","Peter Orban, Christine Perey",2021-08-31
3,Wearable vs Handheld vs Projection: Methods for Quantifying the Impact of AR Modality,"Tablets, mobile phones, and other handheld devices have been widely deployed in enterprise, including among frontline workers who use these devices to access contextually-relevant information while executing work procedures. Although hugely useful, their interaction paradigm forces workers to choose between carrying out the actual steps of a work procedure or interacting with the device. The choices the user makes can also present safety risks.

Commercially available wearable (head-mounted) displays enable frontline workers to consume context-relevant information while executing work procedures using both hands thereby – theoretically – speeding up work. The same could be true for projection-based AR approaches. And both approaches may decrease or completely mitigate safety risks innate to handheld devices. However, there is no independent assessment of the potential economic or safety benefits of the emerging, AR-enriched hands-free modalities.

This research topic focuses on the development of methodologies for performing objective, quantitative assessments of the impact of wearable and projection-based AR approaches compared to work procedures assisted by AR delivered using handheld devices. Measurement methods would be developed to ensure accuracy with a 95% confidence interval. The assessment methodology could include user acceptance of different modalities.

The research scope could be expanded to include performing comparative studies measuring the exact impact of wearable or projection AR modality vs. the handheld baseline across industries, use cases, and horizontal use case categories.

","efficiency, handheld, projection AR, wearable displays, head-mounted displays, usability, user perception, human factors, head worn displays, wearable computers,","Displays, Business","Operations leaders, financial management, OEM manufacturers, Independent Software Vendors,","- Wearable AR displays provide frontline workers in AREA member companies with information without requiring the user to hold a display in their hands or look away from their tasks while obtaining instructions.
- However, deploying display devices with entirely different form factors than those widely adopted, developing and deploying appropriate software, and integrating and training users on the new devices introduces time and expenses – particularly if handheld displays have been well-integrated in the current procedures.
- The AREA members need ways to measure and/or to calculate the investments and benefits of using different form factors in the workplace.","The research will contribute to development of tools to accurately, impartially measure the differences between handheld and wearable displays. The measurement methods will be used on groups of users sufficiently large in number and diverse in profile to allow projection across various attributes (e.g. time saved, quality improved, error eliminated, etc.). The research tools can include time-motion studies using standardized, public, well-documented processes typical of industry verticals, use cases, and horizontal use case categories.",Near,"This research can be combined with or extended to include different wearable form factors, including but not limited to monocular displays and binocular or holographic displays. The research scope may also be expanded to apply the same methods to study the return on investment of emerging use cases and AR in industries that have not been well documented.",The AREA RoI calculator is a starting point for quantifying the economic impacts of AR in repair and maintenance use cases. This research topic could contribute to the expansion of the AREA RoI calculator.,"Peter Orban, Christine Perey",2021-08-31
4,Impact of AR Delivery on People Living in Multidimensional Poverty,"The Multidimensional Poverty Index (MPI) ""measures the complexities of poor people's lives, individually and collectively, each year."" The measure was co-developed between the Oxford Poverty and Human Development Initiative at the University of Oxford and the Human Development Report Office of the United Nations Development Programme in 2010. It is a key measure for developing countries with regards to progress toward eliminating world poverty. Importantly, this specific measure accounts for many elements of non-monetary poverty to calculate an overall score, composed of three dimensions: health, education, and standard of living. According to the 2020 report ""Charting pathways out of multidimensional poverty: achieving the SDGs,"" ""this is a key moment to study how nonmonetary poverty goes down. It is 10 years before 2030, the due date of the Sustainable Development Goals (SDGs), whose first goal is to end poverty in all its forms everywhere. And it is a year when a pandemic and economic slowdown are pushing many more into poverty, while the spectre of racism still haunts, and environmental threats such as locusts surge.""

Because AR is a unique information delivery format that is highly conducive to providing increased accessibility to skill acquisition, learning, and even remote healthcare, and given the challenges that COVID has brought into the mix in 2020, UN nations will increasingly be looking for ways to sustain growth and minimize regression with regards to 2030 UN SDG targets. Because education accounts for 1/3 of the Multi-dimensional Poverty Index and this index is measured annually and can be applied flexibly to individuals, this is an ideal opportunity in time to investigate the impacts of AR with regards to reducing world poverty. There is likely to be substantial interest within local governments as well as amongst corporate entities supporting the UN 2030 SDGs.

This research topic focuses on measuring how access to AR systems for delivery of educational and healthcare programs over the course of a year impacts individual MPI. It will involve engagement with at-risk communities and require a combination of social and technological measurement tools.

","United Nations, Sustainable Development Goals (SDG), Multidimensional Poverty Index (MPI), poverty, policy, education, skill development, socio-economic effects, social aspects, social and economic effects, subjective testing, behavioral research","Business, End User and User Experience","Government officials and policymakers in World Bank Group and UN nations, social performance/impact executives in large, global organizations, particularly those with a large social license to operate - preference to industries in which corporations provide educational and healthcare services for many aspects of community life (e.g. metals and mining), education policy makers/professionals.","- Because AR is a unique delivery format that is highly conducive to providing increased accessibility to skill acquisition, learning, and even remote healthcare, and given the challenges that COVID has brought into the mix in 2020, UN nations will increasingly be looking to ways to sustain growth/minimize regression with regards to 2030 UN SDG targets.
- Because education accounts for 1/3 of the Multi-dimensional Poverty Index and this index is measured annually and can be applied flexibly to individuals, this is an ideal opportunity in time to investigate the impacts of AR with regards to reducing world poverty.
- There is likely to be substantial interest within local governments as well as amongst corporate entities supporting the UN 2030 Sustainable Development Goals.","The proposed research would need to decide upon a flexible scoring mechanism for individual MPI (see https://mppn.org/multidimensional-poverty/how-is-calculated/[multidimensional poverty calculation]).

The principal investigator would develop partnerships with a host corporation and community. Research would include calculation of pre-study MPIs and introduction of AR intervention via A/B trial scenarios, potentially with a few different levels of AR intervention. Then researchers would collect data about post-intervention behaviors and worker status.

Post-study MPIs could be calculated and recommendations developed for future implementation.
",Near,"This study could link closely with existing research programs associated with metals and mining, education, and policy, as well as potentially healthcare, depending upon the scope of the research project.","The Multidimensional Poverty Index (MPI) ""measures the complexities of poor people's lives, individually and collectively, each year."" The measure was co-developed between the Oxford Poverty and Human Development Initiative at the University of Oxford and the Human Development Report Office of the United Nations Development Programme in 2010. It is a key measure for developing countries with regards to progress toward eliminating world poverty. Importantly, this specific measure accounts for many elements of non-monetary poverty to calculate an overall score, comprised of three dimensions: health, education, and standard of living. According to the 2020 report ""Charting pathways out of multidimensional poverty: achieving the SDGs,"" ""this is a key moment to study how non-monetary poverty goes down. It is 10 years before 2030, the due date of the Sustainable Development Goals (SDGs), whose first goal is to end poverty in all its forms everywhere. And it is a year when a pandemic and economic slowdown are pushing many more into poverty, while the spectre of racism still haunts, and environmental threats such as locusts surge.""

References related to risk appetite matrices:
http://hdr.undp.org/sites/default/files/2020_mpi_report_en.pdf +
https://mppn.org/multidimensional-poverty/how-is-calculated/ +",Jennifer Rogers,2021-08-31
5,Passthrough vs. See-through: Impacts of Display Technology on Peripheral Vision,"Head-mounted AR displays (HMD) blend simulated reality with the real world while the user uses both hands. Some displays employ a ‘video passthrough' approach (e.g. Oculus Quest), where image processing and graphics rendering blend and display physical and generated reality in real time -- an approach that is used in all handheld AR display systems. Due to technology limitations, video passthrough wearable devices provide a field of view (FoV) between 90 and 120 degrees, thereby limiting the user's peripheral vision.

As peripheral vision is important for user safety, maintaining partial or full peripheral vision is required in many situations. Wearable AR display devices based on optical see-through technology have far lower impact a user's physical world FoV (i.e., they do not interfere with the user's peripheral vision), however, the FoV in which the user perceives digital assets varies.

This research topic focuses on determining the minimum FoV required for wearable video see-through AR display devices to meet workplace safety requirements. The result will provide HMD designers guidance with respect to the minimum FoV (possibly foveated) that must be supported in video see-through in order to provide user experience comparable to the best-in-class optical see-through AR displays.

","video see-through, video passthrough, field of view, waveguide, birdbath, off-axis, light field, foveated rendering, human eye resolution, head-up displays, three-dimensional displays, micro displays, computer displays, liquid crystal displays, display devices, led displays, screens (display), color displays","Displays, Technology, End User and User Experience","Operations leaders, HMD designers, Safety & IT managers, OEM manufacturers, ISVs","- Most of the leading AR display component and system manufacturers are AREA members.
- Video passthrough displays using existing technologies for graphics overlay on video are less expensive to develop than optical see-through displays.
- AREA members would benefit from having objectively defined measures of the impact of head-worn video see-through displays on the user's peripheral vision.","Studies of human peripheral vision requirements and sensitivities to FoV constraints will need to be performed in highly controlled research conditions. A research platform composed of configurable head-mounted AR display components could be designed. The video passthrough experiences designed for the study will need to have the same level of latency as an optical see-through display and their weight and other ergonomic factors would need to be identical in order to study only the impact of the technology on user's vision. Eye-tracking data could be used to measure the user's gaze and extensive user interviews or other measurement systems would be needed to capture the impacts of the options on eye fatigue, cognition, and task performance.",Near,This research can be combined with or extended to include different wearable form factors including but not limited to monocular displays and binocular or holographic displays. The research scope may also be expanded to apply the same methods to study user safety and comfort. It is also highly valuable to explore how the video and optical see-through displays differ in producing highly registered AR experiences and permitting other optical features.,"Although quite dated by today's stamdards, one of the https://www.researchgate.net/profile/Jannick-Rolland/publication/220089776_Optical_Versus_Video_See-Through_Head-Mounted_Displays_in_Medical_Visualization/links/0fcfd50f59745391b5000000/Optical-Versus-Video-See-Through-Head-Mounted-Displays-in-Medical-Visualization.pdf[first studies focusing on this topic] was performed by Dr. Jannick Rolland and Dr. Henry Fuchs to examine the pros and cons of these two display options in a surgical use case. The study was published in the journal ""Presence"" in 2000.

The topic of mitigating parallax-related registration errors is a highly active field of study, as demonstrated by
https://www.frontiersin.org/articles/10.3389/frobt.2020.572001/full[this article published in December 2020] in the Frontiers in Robotics and AI journal.","Peter Orban, Christine Perey",2021-08-31
6,New Power Sources for Wearable AR Displays,"As the complexity and computational requirements of world capture, world analysis, scene management, rendering, and human interactions with AR experiences increase, a delicate balance must be struck so as to ensure that the useful life of a device between recharges is not too low. Power management may be addressed through a combination of different approaches, including increase in use of low power DSPs, off-loading some computational tasks to the edge of the network (off-device services), and increasing power storage capacity. There is another potentially powerful resource to address the duration of wearable AR display usage. This topic focuses on the research and development of novel methods to capture power from the user or the environment that could be transferred to the power storage system.

Specifically, the proposed topic will research, build, and test implementations of new methods of energy harvesting from sources that have not been used in prior wearable AR display systems. There will need to be studies of human movement (steps, arms, hands), solar sources for users that are outdoors, and chemical reactions that release energy. This topic will span a wide range of technologies, including analysis of the power requirements of each individual AR display component.

","power use, power consumption, power production, AR device energy sources, energy capture, energy production, AR device energy transfer, energy consumption, energy management, electromechanical, solar energy, friction, power storage for AR displays, human factors, weight, usability, portability, computational efficiency, low power electronics, electric batteries, power consumption, power conversion, power aware computing","Displays, Technology","All users of wearable AR display devices and those who manage their use in the workplace will benefit from longer duration between recharges. Introducing or integrating novel power production, transfer, and storage technologies will have impacts on display costs, which could affect the number of devices purchased.","- Most of the leading AR display component and system manufacturers are AREA members.
- Use of wearable AR displays in AREA member settings is limited by many factors, one of which is the size and weight of the display needed in order to store sufficient energy to power the computational processing requirements of AR experiences.
- The issues of power storage to deliver energy for a full work shift can be addressed through reducing local (on-device) processing and power requirements, and increasing storage capacity.
- Having continuously generated power from a source such as the movements or environment of the user is an approach that has not received extensive study but could introduce an attractive alternative to removing a device from use for charging.","The research will be leveraging developments in physics, chemistry, and other sciences pertaining to energy production and combining those with deeper studies of wearable AR display device power use. In addition to theoretical calculations, there will need to be prototypes developed and tested to measure the efficacy and efficiencies of power capture, storage, and use with AR displays. Finally, the introduction of new energy production, transfer, and storage methods or systems will need to be carefully studied for their safety in the workplace.",Long,"This research topic could be studied in different environmental conditions, such as indoors, outdoors, and in different temperatures. In addition, there will need to be studies of different use cases in which some users are actively moving throughout a work shift. The results of this research would also be very valuable for non-enterprise users and display devices.","This field of research is in its infancy, but there are some promising developments such as the electrochemically driven mechanical device developed at MIT and https://www.nature.com/articles/ncomms10146[revealed in 2016 in Nature].

The following articles, published in 2019 describe https://techxplore.com/news/2019-11-harvesting-energy-human-body.html[energy harvesting based on human body movement]; similar studies have been https://www.sciencedaily.com/releases/2019/07/190717122600.htm[reported here.]

This study of https://res.mdpi.com/d_attachment/energies/energies-13-03871/article_deploy/energies-13-03871-v2.pdf[measurement of the power produced] was published in 2020.",Christine Perey,2021-08-31
7,Low Power Digital Signal Processors for Use in AR Display Devices,"While the data about the user's context is captured, fused, and filtered in one digital signal processor (DSP), vision processing units (VPUs) are analyzing individual and fused data signals to detect key features (e.g., objects) of the real world. Audio processing also requires computing resources. At the precise moment when AR experiences are delivered to users, power is needed for the rendering computations. This power usage must not compete with the power necessary for the optics, auditory, or other real time processes to produce digital assets visible to the user.

DSPs are common components of AR Systems-on-Chips (SoCs) in displays. The DSPs accelerate the classes of computational tasks required for optimal performance of AR systems. They can be configured and optimized to specific parameters, matching the sensors that capture the real world tasks that they perform and even the use case or user's requirements.

To reduce total display power usage and increase the time between charges, fundamental research needs to advance the state of the art in design and production of low-power DSPs dedicated to every computationally intensive component of enterprise AR displays and delivery systems.

This research needs to be performed without interference with existing patents and be published and available to component manufacturers and AR display manufacturers without license or fees in order to accelerate the development of new DSPs and to reduce the cost of high-performance enterprise AR display devices and other mobile hardware.

","Low power, power use, power consumption, digital signal processing, DSP, VPU, SoC, AR display hardware, digital signal processing, low power electronics, heads-up displays, power consumption","Displays, Technology","AR display designers, AR display manufacturers, original equipment manufacturers (OEM) of semiconductors for AR displays, AR systems integrators","- Most of the leading AR display component and system manufacturers are AREA members. While their research in this topic has certainly led to substantial improvements in performance, there has been a lack of peer-reviewed literature published on the topic.
- There must be greater research investment and publication of results focused on the challenges of power consumption and computational complexity in order to create new business opportunities that can benefit all AR display manufacturers.
- AREA customer segment members will also benefit from lower cost, less power-intensive systems and integrated AR display devices as a result of advancements in this field.","Semiconductor and DSP designers can collaborate with other AR ecosystem segments to increase their understanding of the diversity of real world requirements. Using machine learning and artificial intelligence, designers will optimize new DSP architectures for AR-specific functions.",Long,This research can be combined with fresh research approaches to create new power capture and power storage technologies for use in AR display designs.,"A 2018 https://www.qualcomm.com/media/documents/files/the-mobile-future-of-augmented-reality.pdf[Qualcomm Technologies presentation] describes important computing tasks and functions of signal processors in advanced AR display devices.

This is a https://community.arm.com/innovation/b/blog/posts/maximizing-the-system-efficiency-of-augmented-reality-devices[blog post] published June 2020 on the ARM community web site about this research topic.",Christine Perey,2021-08-31
8,AR Visualization of Body Sensors for Worker Biofeedback,"During the performance of tasks or fulfilment of roles, an employee may be unaware of changes in their involuntary bodily functions such as blood pressure and heart rate. When aware of any unusual metrics, the user can choose or be prompted to take appropriate actions. Visual and/or auditory information captured in real time by body-worn sensors (e.g., watches) could capture posture, head flexion and extension, whether the arms are above the shoulders, and possibly even squatting. The system could provide feedback on static posture duration and/or frequency and suggest postural changes or breaks based on criteria that increase the risk of muscular skeletal disorders.

The sensor data can be provided to the AR display through a body-area network. This topic focuses on the low-latency transmission and processing of observations from body-worn sensors to the user's AR display and the presentation of data and recommendations in a compact and actionable manner. The system design research should explore both automated modes (which are triggered upon the user's functions reaching a threshold) as well as manually controlled modes (e.g., enabled by a user seeking to obtain vital statistics). There must also be research to ensure that any AR visualization system is secure and upholds all relevant user data privacy protection policies.

","Biometrics, body sensors, blood pressure, heart rate, body temperature, body-area network, biofeedback, user data privacy protection, visualisation, alerts, biofeedback, biometrics, body area network","End User and User Experience, Technology","Companies monitor and manage workplaces for their suitability to employees. This research will be valuable to all workplace health and safety professionals, wellness specialists, human resources managers, user data privacy policy analysts, employees, and managers.","- Employees of AREA members may work in conditions that are highly stressful and/or require postures that introduce risk of injuries. Others must concentrate while working in environmental conditions that are known or anticipated to produce risks to employee well-being (e.g., around vibrations or loud machines). Body-worn sensors can detect abnormal behaviors in the workers' involuntary bodily functions, postures, and use of body parts.
- The implementation of body-worn sensors could be controversial if their ability to protect user data privacy is not clearly demonstrated.
- By using a body-area network and connecting it with their AR display, an employee will be able to see any anomalies in their real time and historical biometrics without distracting them from their task or releasing their personal data.
- With biometric information in their field of view, the AREA employee can modify their behaviors (e.g., reduce stress, change posture, or make other adjustments to manage their body's response to conditions in their workplace).","Research on this topic includes testing and studying the features of body-worn biometric devices in professional settings. It will be necessary to design and build a body-area network supporting existing standards in order to interface with radios and technologies on AR display devices. The research will also require designing and studying the usability, efficacy, and performance of AR-enriched user interfaces for providing a user with only pertinent biometric data via an AR display.",Medium,"This research topic can be combined with other topics pertaining to automated alerting of users to risk conditions using the AR display. It can also extend research on biometrics, biofeedback, and behavior modification therapies.","A peer-reviewed study of a biofeedback system combined with a VR display for managing emotional states was https://dl.acm.org/doi/abs/10.1145/3089269.3089273[published in SIGGRAPH '17 proceedings]. As documented in this https://res.mdpi.com/d_attachment/applsci/applsci-09-03248/article_deploy/applsci-09-03248.pdf[2019 review of the state of the art of body-area network usage in healthcare], the technology is maturing. Combining body-area networks and AR in professional domains is an unexplored field that has high potential for impact.

Similarly, biometrics and the use of biofeedback in the workplace are very large and active fields of research. However, to date, their intersection with Augmented Reality has not been documented in the peer-reviewed literature.",Christine Perey,2021-08-31
9,Development of Heuristics to Assess Enterprise AR Experience Design and Usability,"Usability heuristics are lists of design guidelines that developers and practitioners can use to evaluate the usability of applications in the design and development process. A heuristic evaluation is an activity conducted by a usability expert that involves a checklist of best practices. Applications are judged on their adherence to the checklist items, and the results are used to refine the application design so that it better meets the end user's needs.

While there are several general usability heuristics available for software interfaces (e.g., Nielsen’s 10 Usability Heuristics for User Interface Design, Schneiderman’s Eight Golden Rules of Interface Design), there have been no heuristic checklists developed specifically to assess AR experiences for the workplace. Using a heuristic checklist targeted to enterprise AR reveals aspects beyond the general best practices that are unique to AR environments. This includes characteristics such as safety, comfort, user interaction methods, hardware setup and capabilities, and privacy.

This research topic involves the development of a new heuristic checklist for enterprise AR experience developers and practitioners to use to evaluate the usability of AR experiences and accompanying hardware.

","usability, user experience, heuristics, best practices, product design, software design, user centered design, design, hci design and evaluation methods","End User and User Experience, Industries, Technology","Developers, users, operators, users of AR applications","- This topic is of interest to AREA members because it helps to define best practices for AR application design.
- The outcomes of this effort will allow providers of enterprise platforms to more quickly and reliably assess usability and UX, which in turn will facilitate informed iterative design/development, resulting in more satisfying, efficient, and effective solutions.
- It is important to note that this checklist will complement user testing – it is not a replacement by any means.","Quiñones, Rusu, & Rusu (2018) outline a formal methodology for developing usability/user experience heuristics. The method has been applied in a number of domains outside of enterprise AR and validated by experts. This method involves a systematic literature review, examination of the experimental literature, detailed analyses of the characteristics heuristics should have in the domain, and three levels of validation.",Medium,This topic is academic in nature though the resulting heuristic checklist should be validated with many AREA stakeholders in a variety of domains and industries to ensure robustness and generalized usefuless among the wide range of AR applications used in enterprise settings.,"Details on how to develop a new set of heuristics for a domain are discussed in work by Quiñones, Rusu, & Rusu (2018) https://www.sciencedirect.com/science/article/pii/S0920548917303860?casa_token=9AqOOBdQFFQAAAAA:cIiacrm7bZ0rsL2UtTdLgQqgF1FnA6KZLknce5cphvYbiPh2fSZeNGoDXldyDpbspVWWD_4HnA/[in this article].",ERAU Team,2021-08-31
