Title,Author,Author affiliation,Source,Sponsor,Publisher,Volume and Issue,Pages,Issue date,Monograph title,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider,,,
Come to the table! Haere mai ki te tepu!,"Gunn, Mairi (1); Bai, Huidong (2); Sasikumar, Prasanth (2) ","(1) Elam School of Fine Arts, University of Auckland, Auckland, New Zealand (2) Auckland Bioengineering Inst University of Auckland, Auckland, New Zealand ","SIGGRAPH Asia 2019 XR, SA 2019",ACM Special Interest Group on Computer Graphics and Interactive Techniques (SIGGRAPH),"Association for Computing Machinery, Inc",,p 4-5,17-Nov-19,"SIGGRAPH Asia 2019 XR, SA 2019",2019,,,,9.78145E+12,10.1145/3355355.3361898,,"SIGGRAPH Asia 2019 XR - International Conference on Computer Graphics and Interactive Techniques, SA 2019","November 17, 2019 - November 20, 2019",,"Come to the Table! explores whether extended realities (XR) can create a bridge between indigenous people (Maori), descendants from European settlers (Pakeha) and people from other ethnicities, by practicing social inclusion. The experience uses real time depth sensing technology and AR/VR displays to enable participants to view and be part of tabletop conversations with people from different cultural backgrounds, in a playful, explorative and powerful way. © 2019 Association for Computing Machinery.",2,Interactive computer graphics,Augmented reality - Virtual reality,Cultural backgrounds - Indigenous - Indigenous people - Intercultural - Real time - Social inclusion,"723 Computer Software, Data Handling and Applications - 723.5 Computer Applications",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Porton: Portable mid-air imaging optical system on glossy materials,"Sano, Ayaka (1); Koizumi, Naoya (2) ","(1) University of Electro-Communications, Tokyo, Japan (2) University of Electro-Communications, JST PRESTO, Tokyo, Japan ","SIGGRAPH Asia 2019 Emerging Technologies, SA 2019",ACM Special Interest Group on Computer Graphics and Interactive Techniques (SIGGRAPH),"Association for Computing Machinery, Inc",,p 38-39,17-Nov-19,"SIGGRAPH Asia 2019 Emerging Technologies, SA 2019",2019,,,,9.78145E+12,10.1145/3355049.3360527,,"SIGGRAPH Asia 2019 Emerging Technologies - International Conference on Computer Graphics and Interactive Techniques, SA 2019","November 17, 2019 - November 20, 2019",,"PortOn is a portable optical system that can form mid-air images that stand on a glossy surface such as a table or the floor. PortOn is composed of micro-mirror array plates (MMAPs), an image light source, a mirror, and polarizing elements. PortOn projects light to form a mid-air image at a position that is easy for a human to see when it is placed on a flat surface. Our contribution is a practical optical design that can be easily installed. We designed the arrangement of the MMAPs, mirror and light source to form a mid-air image by placing it on a flat and glossy surface. The advantage of our method is to erase unnecessary light and show beautiful mid-air image clearly by applying view angle control and polarization operating to the mid-air imaging system. With this method, it is possible to display computer graphics in the real world easily and realize mixed reality interaction. © 2019 Association for Computing Machinery.",2,Optical systems,Augmented reality - Interactive computer graphics - Light sources - Mirrors - Mixed reality - Optical design,Flat surfaces - Glossy surface - Imaging optical systems - Micromirror array - Mid-air image - Polarizing elements - Tabletop displays - View angles,"723 Computer Software, Data Handling and Applications - 723.5 Computer Applications - 741.1 Light/Optics - 741.3 Optical Devices and Systems",,,"Number: JPMJPR16D5, Acronym: JST, Sponsor: Japan Science and Technology Corporation; Number: -, Acronym: PRESTO, Sponsor: Precursory Research for Embryonic Science and Technology; ","This research was supported by PRESTO, JST (JPMJPR16D5).",,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
I'm tired of demos: An adaptive MR remote collaborative platform,"Wang, Peng (1, 2); Bai, Xiaoliang (1, 2); Billinghurst, Mark (1, 2, 3); Han, Dechuan (1, 2); Zhang, Shusheng (1, 2); He, Weiping (1, 2); Zhang, Xiangyu (1); Yan, Yuxiang (1) ","(1) Northwestern Polytechnical University, Xi'an, China (2) Cyber-Reality Innovation Center, Nanjing, China (3) University of South Australia, Mawson Lakes, Australia ","SIGGRAPH Asia 2019 XR, SA 2019",ACM Special Interest Group on Computer Graphics and Interactive Techniques (SIGGRAPH),"Association for Computing Machinery, Inc",,p 17-18,17-Nov-19,"SIGGRAPH Asia 2019 XR, SA 2019",2019,,,,9.78145E+12,10.1145/3355355.3361878,,"SIGGRAPH Asia 2019 XR - International Conference on Computer Graphics and Interactive Techniques, SA 2019","November 17, 2019 - November 20, 2019",,"In AR/MR remote collaboration, a remote expert often has to demonstrate tasks for a local worker. To make this easier, we have developed a new adaptive MR remote collaborative architecture which enables a remote expert to guide a local user in physical assembly and training tasks. A remote user can activate the instructions through simple and intuitive interaction, then clear instructions are shown in both AR (local) and VR (remote) views, enabling a local worker to operate the tool following the instructions. In the demonstration we use a hammer operation as a physical task, showing the benefits of the adaptive MR remote collaborative platform. © 2019 Association for Computing Machinery.",3,Mixed reality,Augmented reality - Interactive computer graphics,Collaborative architectures - Collaborative platform - Intuitive interaction - Physical assemblies - Physical task - Remote collaboration - Remote experts - Remote users,"723 Computer Software, Data Handling and Applications - 723.5 Computer Applications",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Virtual reality driving simulator for user studies on automated driving,"Riegler, Andreas (1); Riener, Andreas (2); Holzmann, Clemens (3) ","(1) University of Applied Sciences Upper Austria, Johannes Kepler University, Linz, Austria (2) Technische Hochschule Ingolstadt, Ingolstadt, Germany (3) University of Applied Sciences Upper Austria, Hagenberg, Austria ","Adjunct Proceedings - 11th International ACM Conference on Automotive User Interfaces and Interactive Vehicular Applications, AutomotiveUI 2019",cerence; Helmholtz Instituut; here; Rijkswaterstaat - Ministry of Infrastructure and Water Management; Uber ARG; Utrecht University - Faculty of Social and Behavioral Sciences,"Association for Computing Machinery, Inc",,p 502-507,21-Sep-19,"Adjunct Proceedings - 11th International ACM Conference on Automotive User Interfaces and Interactive Vehicular Applications, AutomotiveUI 2019",2019,,,,9.78145E+12,10.1145/3349263.3349595,,"11th ACM International Conference on Automotive User Interfaces and Interactive Vehicular Applications, AutomotiveUI 2019","September 21, 2019 - September 25, 2019",,"Nowadays, HCI Research on automated driving is commonly carried out using either low-quality setups with 2D monitors or expensive driving simulators with motion platforms. Furthermore, software for user studies on automated driving is often expensive and hard to modify for different scenarios. We plan to fill this gap by proposing a low-cost, high-fidelity immersive prototyping simulator by making use of virtual reality (VR) technology: AutoWSD - Automated driving simulator for research on windshield displays. We showcase a hybrid software and hardware solution as well as demonstrate how to design and implement scenarios for user studies, and thereby encourage discussion about potential improvements and extensions for AutoWSD, as well as the topic of trust, acceptance, user experience and simulator sickness in automation. © 2019 Copyright is held by the owner/author(s).",17,User interfaces,Augmented reality - Automation - Automobile simulators - Computer software - Head-up displays - Software prototyping - Virtual reality - Windshields,Automated driving - Design and implements - Driving simulator - Motion platforms - Simulator sickness - Software and hardwares - User study - Windshield displays,"662 Automobiles and Smaller Vehicles - 722.2 Computer Peripheral Equipment - 723 Computer Software, Data Handling and Applications - 723.1 Computer Programming - 731 Automatic Control Principles and Applications",,,,This work is supported by the University of Applied Sciences PhD program of the government of Upper Austria.,Open Access,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Egocentric Visitors Localization in Cultural Sites [arXiv],"Ragusa, F. (1); Furnari, A. (1); Battiato, S. (1); Signorello, G. (2); Farinella, G.M. (1) ","(1) IPLab, Univ. degli Studi di Catania, Catania, Italy (2) CUTGANA, Univ. degli Studi di Catania, Catania, Italy ",arXiv,,"arXiv, USA",,20 pp.,10-Apr-19,,,,,,,,,,,,"We consider the problem of localizing visitors in a cultural site from egocentric (first person) images. Localization information can be useful both to assist the user during his visit (e.g., by suggesting where to go and what to see next) and to provide behavioral information to the manager of the cultural site (e.g., how much time has been spent by visitors at a given location? What has been liked most?). To tackle the problem, we collected a large dataset of egocentric videos using two cameras: a head-mounted HoloLens device and a chest-mounted GoPro. Each frame has been labeled according to the location of the visitor and to what he was looking at. The dataset is freely available in order to encourage research in this domain. The dataset is complemented with baseline experiments performed considering a state-of-the-art method for location-based temporal segmentation of egocentric videos. Experiments show that compelling results can be achieved to extract useful information for both the visitor and the site-manager. [ACM Journal on Computing and Cultural Heritage (JOCCH), 2019].",30,,augmented reality - cameras - feature extraction - history - image segmentation - information retrieval - video signal processing,egocentric videos - visitor - site-manager - Cultural Heritage - egocentric visitors localization - Cultural sites - cultural site - egocentric images - localization information - behavioral information - how much time has been spent by visitors at a given location - head-mounted HoloLens device - chest-mounted GoPro - location-based temporal segmentation,"B6135 Optical, image and video signal processing - C5260B Computer vision and image processing techniques - C5260D Video signal processing - C6130V Virtual reality - C7250R Information retrieval techniques",G03B17/00 - G03B19/00 - G06F17/30 - G06T,Practical (PRA),,,,Inspec,"Copyright 2019, The Institution of Engineering and Technology",Engineering Village,,,
Bibliometric analysis of wearable devices and their applications to english education,"Cheng, Li (1); Yao, Jigang (2) ","(1) Beijing University of Posts and Telecommunications, 10-Xitucheng Rd. Haidian District, Beijing, China (2) Beijing University of Technology, 100-Pingleyuan Chaoyang District, China ",ACM International Conference Proceeding Series,,Association for Computing Machinery,,p 35-38,28-Jun-19,"Proceedings of the 2019 International Conference on Modern Educational Technology, ICMET 2019",2019,,,,9.78145E+12,10.1145/3341042.3341059,,"2019 International Conference on Modern Educational Technology, ICMET 2019","June 28, 2019 - June 30, 2019",,"This paper reports a study investigating the trends and hotspots of wearable devices (WDs) research using the software of Citespace. A total of 4,423 research articles (2008-2017) were retrieved from Web of Science, an online service offering access to multiple databases of academic and scientific disciplines. The study employed CiteSpace III to do a systematic and quantitative analysis of the WDs literature. Results show that wearable devices have been used in many fields including materials, biomedicine and telecommunications. In the field of English education, two trends have been identified. One is the use of WDs in a virtual reality/augmented reality classroom or language lab and the other the integration of smart devices with mobile learning. With the innovations in materials, information technology and social networks, WDs will provide more effective services to learners of English. It is anticipated that due to their increased Internet connectivity, improved usability, reduced costs and increased reliability, there will be more and more pedagogical opportunities for educators to use wearable devices in English education in the future. © 2019 ACM.",15,Wearable technology,Educational technology - Electronic document exchange - Social sciences computing - Virtual reality,Bibliometric analysis - Citespace - English educations - Internet connectivity - Mobile Learning - Scientific discipline - Visual analysis - Wearable devices,"723 Computer Software, Data Handling and Applications - 901.2 Education",,,,The research work was supported by the Research Fund of Beijing University of Posts and Telecommunications (No. 500518526) and Beijing Research Fund (BJSZ2019ZC12).,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Smartglasses in the sterile supply process,"Krauß, Veronika (1); Uzun, Yücel (1); Oppermann, Leif (1); Reiners, René (1) ","(1) Fraunhofer Institute for Applied Information Technology, FIT Sankt, Augustin, Germany ",ACM International Conference Proceeding Series,,Association for Computing Machinery,,p 859-861,8-Sep-19,"Mensch und Computer 2019, MuC 2019 - Tagungsband",2019,,,,9.78145E+12,10.1145/3340764.3345367,,"2019 Conference on Mensch und Computer, MuC 2019","September 8, 2019 - September 11, 2019",,"The presented demonstrator showcases the potential of augmented reality (AR) smartglasses in the sterile supply chain. In the scope of the project 'Smartglasses in der Sterilgutver-sorgung', we developed an application to investigate on the applicability of smartglasses and AR paradigms during the reprocessing of used operational tools. The demonstrator was developed and tested using the iterative user-centered approach involving actual employees of the respective domain. © 2019 Association for Computing Machinery.",7,Augmented reality,Supply chains,Operational tools - Supply process - User-centered approach,"723 Computer Software, Data Handling and Applications - 912 Industrial Engineering and Management - 913 Production Planning and Control; Manufacturing",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
"MUM 2019 - 18th International Conference on Mobile and Ubiquitous Multimedia, Proceedings",,,ACM International Conference Proceeding Series,,Association for Computing Machinery,,,26-Nov-19,"MUM 2019 - 18th International Conference on Mobile and Ubiquitous Multimedia, Proceedings",2019,,,,9.78145E+12,,,"18th International Conference on Mobile and Ubiquitous Multimedia, MUM 2019",26-Nov-19,,"The proceedings contain 58 papers. The topics discussed include: locating nearby physical objects in augmented reality; is it real? understanding interaction mechanics within the reality-virtuality continuum; DroneSAR: extending physical spaces in spatial augmented reality using projection on a drone; evaluation of attention inducing effects using ubiquitous humanlike face robots; and variable and situated user interfaces: assumptions, potentials and design issues.",,,,,,,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Augmented primitive data types of programming language,"Tariqur Rahman, Md. (1); Ashfiqur Rahman, A.T.M. (1); Chowdhury, Jahiruddin (1); Zaman, A.G.M. (1) ","(1) Computer Science Department, American International University-Bangladesh, Dhaka, Bangladesh ",ACM International Conference Proceeding Series,,Association for Computing Machinery,,,10-Jan-20,"International Conference on Computing Advancements: 'Age of Computing and Augmented Life', ICCA 2020",2020,,,,9.78145E+12,10.1145/3377049.3377127,,"2020 International Conference on Computing Advancements: Age of Computing and Augmented Life, ICCA 2020","January 10, 2020 - January 12, 2020",,"Learning programming language for the first timer is critical and difficult to understand the concepts properly. It will be easier for the beginners to understand the concepts if any visual representation is available for them. Augmented reality (AR) is one of the most preferable medium in recent time. In this paper, we present an experiment of augmentation of primitive data types of C programming language in mobile platform. The visualization includes the structure of the data types, such as, memory block and space taken by each data type. © 2020 Association for Computing Machinery.",12,,,,,,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
"Proceedings of the 16th EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services, MobiQuitous 2019",,,ACM International Conference Proceeding Series,,Association for Computing Machinery,,,12-Nov-19,"Proceedings of the 16th EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services, MobiQuitous 2019",2019,,,,9.78145E+12,,,"16th EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services, MobiQuitous 2019","November 12, 2019 - November 14, 2019",,The proceedings contain 58 papers. The topics discussed include: regression-based network monitoring in swarm robotic systems; efficient content caching for named data network nodes; a deep spatio-temporal attention-based neural network for passenger flow prediction; mobile augmented reality techniques for emergency response; the impression of virtual experience: mobile augmented reality cloud solution; jive: spatially-constrained encryption key sharing using visible light communication; an intelligent optimization method for information recommendation; and a scheme for anomalous RFID trajectory detection based on improved clustering algorithm under digital-twin-driven.,,,,,,,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
