,names,freq
0,3d modeling,63
1,3g mobile communication,3
2,4g mobile communication,6
3,5g mobile communication,35
4,5g mobile communication systems,15
5,aberrations,2
6,ability testing,2
7,ablation,1
8,absorption spectroscopy,1
9,abstracting,13
10,academic libraries,2
11,acceleration measurement,1
12,accelerometers,7
13,acceptance tests,2
14,access control,3
15,access protocols,2
16,accident prevention,6
17,accidents,3
18,accreditation,1
19,acoustic field measurement,1
20,acoustic fields,2
21,acoustic generators,1
22,acoustic imaging,1
23,acoustic intensity,1
24,acoustic measurement,1
25,acoustic noise,4
26,acoustic radiators,1
27,acoustic signal processing,8
28,acoustic streaming,2
29,acoustic wave absorption,1
30,acoustic wave reflection,1
31,acoustic waves,1
32,acoustics,2
33,active noise control,1
34,actuators,6
35,ad hoc networks,3
36,ada,1
37,adaptive algorithms,1
38,adaptive control,1
39,adaptive control systems,2
40,adaptive estimation,1
41,adaptive filtering,1
42,adaptive filters,1
43,adaptive optics,2
44,adaptive signal processing,1
45,adaptive systems,1
46,additives,3
47,adhesive bonding,1
48,advanced driver assistance systems,2
49,advertising,2
50,advertising data processing,6
51,aerial photography,1
52,aerospace computing,10
53,aerospace control,1
54,aerospace engineering,1
55,aerospace industry,3
56,aerospace propulsion,1
57,aerospace robotics,1
58,aerospace safety,2
59,aerospace simulation,1
60,affective computing,1
61,affine transforms,1
62,age issues,12
63,agents,6
64,aggregates,1
65,aging of materials,1
66,agricultural engineering,2
67,agricultural machinery,1
68,agricultural products,3
69,agricultural robots,5
70,agriculture,7
71,agrochemicals,1
72,air conditioning,2
73,air navigation,10
74,air pollution,1
75,air quality,5
76,air traffic control,7
77,air transportation,2
78,aircraft,5
79,aircraft cockpits,1
80,aircraft control,3
81,aircraft detection,3
82,aircraft displays,3
83,aircraft engines,1
84,aircraft maintenance,2
85,aircraft manufacture,3
86,aircraft navigation,1
87,aircraft plants,1
88,airport buildings,1
89,airport security,1
90,airports,3
91,aldehydes,1
92,alignment,2
93,aluminum alloys,1
94,ambient intelligence,3
95,ambulances,1
96,amplitude modulation,1
97,analogue circuits,1
98,analogue-digital conversion,2
99,analytic hierarchy process,1
100,analytical models,2
101,android,39
102,anechoic chambers,1
103,angiocardiography,1
104,angular velocity,1
105,animals,4
106,animation,20
107,anomaly detection,1
108,ant colony optimization,2
109,antenna arrays,2
110,antenna phased arrays,2
111,antennas,26
112,anthropometry,1
113,anthropomorphic robots,2
114,antialiasing,1
115,application program interfaces,15
116,application programming interfaces,3
117,application programs,28
118,application specific integrated circuits,2
119,applications,3
120,apprentices,1
121,approximation algorithms,3
122,approximation theory,8
123,aquaculture,2
124,arc welding,1
125,archaeology,9
126,arches,1
127,architectural acoustics,6
128,architectural cad,4
129,architectural design,5
130,architecture,15
131,argon,36
132,armored vehicles,1
133,aromatic compounds,1
134,array signal processing,4
135,art,28
136,artificial intelligence,54
137,artificial life,1
138,artificial limbs,3
139,artificial organs,1
140,artificial satellites,1
141,arts computing,13
142,aspect ratio,2
143,aspherical optics,1
144,assembling,39
145,assembly,4
146,assembly planning,4
147,asset management,3
148,assisted living,12
149,astronomy,1
150,astronomy computing,9
151,atmospheric temperature,1
152,atoms,1
153,attitude measurement,1
154,audio acoustics,6
155,audio equipment,3
156,audio signal processing,11
157,audio systems,6
158,audio user interfaces,4
159,audio-visual systems,4
160,audition,15
161,auditoriums,1
162,auditory evoked potentials,2
163,authentication,4
164,authoring languages,2
165,authoring systems,7
166,authorisation,8
167,automatic guided vehicles,2
168,automatic optical inspection,4
169,automatic testing,1
170,automation,24
171,automobile drivers,12
172,automobile industry,7
173,automobile manufacture,1
174,automobile simulators,2
175,automobiles,7
176,automotive components,4
177,automotive electric vehicles,1
178,automotive electronics,3
179,automotive engineering,5
180,automotive industry,7
181,autonomous aerial vehicles,23
182,autonomous agents,11
183,autonomous underwater vehicles,1
184,autonomous vehicles,9
185,avatars,35
186,aviation,2
187,avionics,2
188,backpropagation,4
189,ball milling,1
190,ballistics,1
191,balloons,1
192,bandwidth,16
193,bandwidth allocation,2
194,bank data processing,1
195,bar codes,7
196,base stations,3
197,batch processing,1
198,bayes methods,7
199,bayesian networks,1
200,beam forming networks,1
201,beamforming,3
202,behavioral research,26
203,behavioural sciences,2
204,behavioural sciences computing,12
205,belief networks,1
206,belt conveyors,1
207,belts,1
208,benchmarking,7
209,berry phase,1
210,bicycles,4
211,big data,25
212,binary alloys,1
213,binary codes,1
214,binary sequences,1
215,binoculars,2
216,bio-optics,1
217,bioacoustics,1
218,biochemical engineering,1
219,biochemistry,1
220,bioelectric potentials,2
221,biofeedback,2
222,biographies,2
223,bioinformatics,3
224,biological effects of radiation,1
225,biological organs,9
226,biological tissues,6
227,biology,2
228,biology computing,20
229,biomechanics,47
230,biomedical communication,2
231,biomedical education,39
232,biomedical electrodes,1
233,biomedical engineering,6
234,biomedical equipment,3
235,biomedical measurement,7
236,biomedical mri,20
237,biomedical optical imaging,14
238,biomedical signal processing,1
239,biomedical ultrasonics,5
