,LowLevel,MidLevel,HighLevel,freq_low,freq_mid,freq_high
0,3d modeling__,manufacturing_,industries,63,564,3116
1,3g mobile communication__,telecommunication_,industries,3,912,3116
2,4g mobile communication__,telecommunication_,industries,6,912,3116
4,5g mobile communication systems__,telecommunication_,industries,15,912,3116
3,5g mobile communication__,telecommunication_,industries,35,912,3116
5,aberrations__,optics_,displays,2,167,819
6,ability testing__,human factors_,end users and user experience,2,441,1397
7,ablation__,medical_,industries,1,725,3116
8,absorption spectroscopy__,chemical_,industries,1,152,3116
9,abstracting__,video_,technology,13,142,3706
10,academic libraries__,education_,industries,2,627,3116
11,acceleration measurement__,sensors_,technology,1,235,3706
12,accelerometers__,sensors_,technology,7,235,3706
13,acceptance tests__,developers_,technology,2,541,3706
14,access control__,security_,technology,3,97,3706
15,access protocols__,security_,technology,2,97,3706
16,accident prevention__,"inspection, safety and quality_",use cases,6,246,1287
17,accidents__,"inspection, safety and quality_",use cases,3,246,1287
18,accreditation__,education_,industries,1,627,3116
19,acoustic field measurement__,audio_,technology,1,73,3706
20,acoustic fields__,audio_,technology,2,73,3706
21,acoustic generators__,audio_,technology,1,73,3706
22,acoustic imaging__,audio_,technology,1,73,3706
23,acoustic intensity__,audio_,technology,1,73,3706
24,acoustic measurement__,audio_,technology,1,73,3706
25,acoustic noise__,audio_,technology,4,73,3706
26,acoustic radiators__,audio_,technology,1,73,3706
27,acoustic signal processing__,audio_,technology,8,73,3706
28,acoustic streaming__,audio_,technology,2,73,3706
29,acoustic wave absorption__,audio_,technology,1,73,3706
30,acoustic wave reflection__,audio_,technology,1,73,3706
31,acoustic waves__,audio_,technology,1,73,3706
32,acoustics__,audio_,technology,2,73,3706
33,active noise control__,audio_,technology,1,73,3706
34,actuators__,semiconductors_,technology,6,234,3706
35,ad hoc networks__,networks_,technology,3,509,3706
36,ada__,developers_,technology,1,541,3706
37,adaptive algorithms__,artificial intelligence_,technology,1,771,3706
39,adaptive control systems__,human-computer interaction_,end users and user experience,2,998,1397
38,adaptive control__,human-computer interaction_,end users and user experience,1,998,1397
40,adaptive estimation__,artificial intelligence_,technology,1,771,3706
41,adaptive filtering__,data_,technology,1,654,3706
42,adaptive filters__,data_,technology,1,654,3706
43,adaptive optics__,optics_,displays,2,167,819
44,adaptive signal processing__,semiconductors_,technology,1,234,3706
45,adaptive systems__,artificial intelligence_,technology,1,771,3706
46,additives__,chemical_,industries,3,152,3116
47,adhesive bonding__,manufacturing_,industries,1,564,3116
48,advanced driver assistance systems__,automotive_,industries,2,149,3116
50,advertising data processing__,sales and marketing_,business,6,114,806
49,advertising__,sales and marketing_,business,2,114,806
51,aerial photography__,input_,technology,1,1224,3706
52,aerospace computing__,aviation and aerospace_,industries,10,121,3116
53,aerospace control__,aviation and aerospace_,industries,1,121,3116
54,aerospace engineering__,aviation and aerospace_,industries,1,121,3116
55,aerospace industry__,aviation and aerospace_,industries,3,121,3116
56,aerospace propulsion__,aviation and aerospace_,industries,1,121,3116
57,aerospace robotics__,aviation and aerospace_,industries,1,121,3116
58,aerospace safety__,aviation and aerospace_,industries,2,121,3116
59,aerospace simulation__,aviation and aerospace_,industries,1,121,3116
60,affective computing__,human factors_,end users and user experience,1,441,1397
61,affine transforms__,graphics_,technology,1,950,3706
62,age issues__,medical_,industries,12,725,3116
63,agents__,artificial intelligence_,technology,6,771,3706
64,aggregates__,construction_,industries,1,112,3116
65,aging of materials__,manufacturing_,industries,1,564,3116
66,agricultural engineering__,farming and natural science_,industries,2,107,3116
67,agricultural machinery__,farming and natural science_,industries,1,107,3116
68,agricultural products__,farming and natural science_,industries,3,107,3116
69,agricultural robots__,farming and natural science_,industries,5,107,3116
70,agriculture__,farming and natural science_,industries,7,107,3116
71,agrochemicals__,farming and natural science_,industries,1,107,3116
72,air conditioning__,construction_,industries,2,112,3116
73,air navigation__,aviation and aerospace_,industries,10,121,3116
74,air pollution__,data_,technology,1,654,3706
75,air quality__,data_,technology,5,654,3706
76,air traffic control__,aviation and aerospace_,industries,7,121,3116
77,air transportation__,transportation_,industries,2,131,3116
79,aircraft cockpits__,aviation and aerospace_,industries,1,121,3116
80,aircraft control__,aviation and aerospace_,industries,3,121,3116
81,aircraft detection__,aviation and aerospace_,industries,3,121,3116
82,aircraft displays__,aviation and aerospace_,industries,3,121,3116
83,aircraft engines__,aviation and aerospace_,industries,1,121,3116
84,aircraft maintenance__,aviation and aerospace_,industries,2,121,3116
85,aircraft manufacture__,aviation and aerospace_,industries,3,121,3116
86,aircraft navigation__,aviation and aerospace_,industries,1,121,3116
87,aircraft plants__,aviation and aerospace_,industries,1,121,3116
78,aircraft__,aviation and aerospace_,industries,5,121,3116
88,airport buildings__,aviation and aerospace_,industries,1,121,3116
89,airport security__,aviation and aerospace_,industries,1,121,3116
90,airports__,aviation and aerospace_,industries,3,121,3116
91,aldehydes__,chemical_,industries,1,152,3116
92,alignment__,"inspection, safety and quality_",use cases,2,246,1287
93,aluminum alloys__,chemical_,industries,1,152,3116
94,ambient intelligence__,internet of things_,technology,3,163,3706
95,ambulances__,emergency response_,industries,1,34,3116
96,amplitude modulation__,display technology_,displays,1,247,819
97,analogue circuits__,semiconductors_,technology,1,234,3706
98,analogue-digital conversion__,engineering_,technology,2,229,3706
99,analytic hierarchy process__,data_,technology,1,654,3706
100,analytical models__,data_,technology,2,654,3706
101,android__,developers_,technology,39,541,3706
102,anechoic chambers__,industrial equipment_,industries,1,98,3116
103,angiocardiography__,medical_,industries,1,725,3116
104,angular velocity__,input_,technology,1,1224,3706
105,animals__,education_,industries,4,627,3116
106,animation__,graphics_,technology,20,950,3706
107,anomaly detection__,artificial intelligence_,technology,1,771,3706
108,ant colony optimization__,artificial intelligence_,technology,2,771,3706
109,antenna arrays__,telecommunication_,industries,2,912,3116
110,antenna phased arrays__,networks_,technology,2,509,3706
111,antennas__,telecommunication_,industries,26,912,3116
112,anthropometry__,human factors_,end users and user experience,1,441,1397
113,anthropomorphic robots__,robotics_,technology,2,398,3706
114,antialiasing__,graphics_,technology,1,950,3706
115,application program interfaces__,developers_,technology,15,541,3706
116,application programming interfaces__,developers_,technology,3,541,3706
117,application programs__,developers_,technology,28,541,3706
118,application specific integrated circuits__,semiconductors_,technology,2,234,3706
119,applications__,developers_,technology,3,541,3706
120,apprentices__,training_,use cases,1,633,1287
121,approximation algorithms__,artificial intelligence_,technology,3,771,3706
122,approximation theory__,artificial intelligence_,technology,8,771,3706
123,aquaculture__,farming and natural science_,industries,2,107,3116
124,arc welding__,manufacturing_,industries,1,564,3116
125,archaeology__,liberal arts_,industries,9,321,3116
126,arches__,construction_,industries,1,112,3116
